id,subscription,switching,redemption,management,trustee,performance,admin
BRX762,4%,4%,,,,,1.300%
BRX763,3%,3%,,,,,0.860%
BRX764,4%,4%,,,,,1.440%
BRX765,4%,4%,,,,,1.150%
BSE527,5%,5%,,1.25%,0.15%,,
ABD638,5.0%,1%,,1.50%,,,0.60%
ABD639,5.0%,1%,,1.75%,,,0.60%
ABD647,5.0%,1%,,1.50%,,,0.60%
ABD804,5.00%,2.00%,,0.65%,0.04%,,0.35%
ABD806,5.00%,2.00%,,0.65%,0.04%,,0.35%
ABD886,5%,,,1.50%,,,
ABD887,5%,,,1.50%,,,
ABD893,5%,,,1.50%,,,
ABD894,5%,,,1.50%,,,
ABD895,5%,,,0.75%,,,
ABD896,,,,0.45%,,,
ABD897,5%,,,1.50%,,,
ABD898,5%,,,1.75%,,,
ABE029,,,,,,,
ABE033,,,,,,,
ABE035,,,,,,,
ABE038,,,,,,,
ABE039,,,,,,,
ABE069,5.25%,1%,,1.50%,,,0.35%
ABE070,5.25%,1%,,1.50%,,,0.35%
ABE071,5.25%,1%,,1.50%,,,0.35%
ABE072,5.25%,1%,,1.50%,,,0.35%
ABE074,5.25%,1%,,1.50%,,,0.35%
ABE077,5.25%,1%,,1.50%,,,0.35%
ABE078,5.25%,1%,,1.50%,,,0.35%
ABE079,5.25%,1%,,1.50%,,,0.35%
ABE080,5.25%,1%,,1.50%,,,0.35%
ABE082,5.25%,1%,,1.50%,,,0.35%
ABE083,5.25%,1%,,1.50%,,,0.35%
ABE084,3.5%,1%,,0.75%,,,0.35%
ABE085,3.5%,1%,,1.00%,,,0.35%
ABE086,3.5%,1%,,0.75%,,,0.35%
ABE087,3.5%,1%,,0.75%,,,0.35%
ABE091,5.25%,1%,,1.50%,,,0.35%
ABE117,,1.00%,,1.50%,,,
ABE118,,1.00%,,1.50%,,,
ABE120,,1.00%,,1.50%,,,
ABE124,,,,0.25%,,,
ABE140,5%,,,1.25%,,,
ABE142,5%,,,1.25%,,,
ABE143,5%,,,1.25%,,,
ABE144,5%,,,0.75%,,,
ABE150,5%,,,1.25%,,,
ABE151,5%,,,1.25%,,,
ABE224,5%,,,1.50%,,,
ABF889,,,,,,,
ABF925,,1.00%,,1.50%,,,
ABG538,5%,1%,,0.013%,,,0.5%
ABG539,5%,1%,,0.013%,,,0.5%
ABH672,5%,,,1.50%,0.022%,,0.15%
ABH673,5%,,,0.75%,0.022%,,0.15%
ABM770,5%,,,1.25%,,,
ABN344,,,,,,,
ABN345,,,,,,,
ABN391,5%,1%,,0.013%,,,0.5%
ABQ462,5%,,,1.00%,,,
ABT232,6%,,,0.75%,,,0.50%
ABT569,5%,,,1.50%,,,
ABV649,5.25%,1%,,1.50%,,,0.35%
ABY190,5.25%,1%,,1.50%,,,0.35%
ACA511,5%,,,0.75%,,,
ACB462,5.25%,1%,,1.50%,,,0.35%
ACG320,5.00%,1.00%,,1.50%,,,
ACG321,5.00%,1.00%,,1.50%,,,
ACG322,5.00%,,,1.50%,,,
ACG324,5.00%,1.00%,,1.90%,,,
ACG327,5.00%,1.00%,,1.85%,,,
ACG328,5.00%,1.00%,,2.10%,,,
ACG329,5.00%,1.00%,,1.65%,,,
ACG332,5.00%,,,1.30%,,,
ACG333,5.00%,1.00%,,1.05%,,,
ACG337,5.00%,,,1.50%,,,
ACG338,5.00%,1.00%,,0.95%,,,
ACG341,5.00%,,,0.40%,,,
ACH404,,1.00%,,1.50%,,,
ACJ657,5.25%,1%,,1.50%,,,0.35%
ACM776,5%,,,1.50%,,,
ACN689,5%,,,1.75%,,,
ACO203,5.25%,1%,,1.50%,,,0.35%
ACO450,5.0%,5.0%,,0.75%,0.75%,0.75%,5.0%
ACO452,5.0%,5.0%,,0.75%,0.75%,0.75%,5.0%
ACT319,,,,,,,
ACT325,,,,,,,
ACT327,,,,,,,
ACT331,,,,,,,
ACT332,,,,,,,
ADA078,3.00%,1%,,1%,0.07%,,
ADA392,5.25%,1%,,1.50%,,,0.35%
ADB517,,,,,,,
ADC149,5%,5%,1%,1.5%,0.115%,,1%
ADG889,5.00%,1.00%,,1.20%,,,
ADH949,5%,,,1.0%,0.025%,,0.375%
ADJ409,5.0%,1.0%,0%,1.5%,,,0.3%
ADL927,5%,1%,,5%,,1.20%,0.18%
ADL929,5%,1%,,5%,,1.20%,0.18%
ADL930,5%,1%,,5%,,1.20%,0.18%
ADL932,5%,1%,,5%,,1.20%,0.18%
ADM595,5%,1%,,0.013%,,,0.5%
ADM596,5%,1%,,0.013%,,,0.5%
ADN303,5%,,,1.50%,,,
ADP286,,,,,,,
ADQ118,5.00%,1.00%,,1.50%,,,
ADU814,0%,0%,,0.15%,,,0.35%
ADV114,,1.00%,,1.50%,,,
ADV748,5%,,,1.75%,,,
ADX380,5.0%,5.0%,,0.75%,0.75%,0.75%,5.0%
ADX433,5%,,,1.70%,,,1.00%
ADX434,5%,,,1.10%,,,1.00%
ADX435,5%,,,1.10%,,,1.00%
ADX437,5%,,,0.85%,,,1.00%
AEA027,5.25%,1%,,1.50%,,,0.35%
AEB189,5.00%,,,2.10%,,,
AEC047,5.25%,1%,,1.50%,,,0.35%
AED229,,,,,,,
AEH594,5%,,,1.45%,,,1.00%
AEI316,5.25%,1%,,1.25%,,,0.35%
AEK191,5%,1%,,0.013%,,,0.5%
AEK827,3%,1.5%,,50%,,,0.25%
AEM615,5.0%,5.0%,,0.25%,0.25%,0.25%,5.0%
AEM856,2%,,,1.0%,0.025%,,
AEO343,2.0%,1.0%,,0.55%,0.045%,,
AEO344,4.0%,2.0%,,1.0%,,,
AEO345,4.0%,2.0%,,1.0%,,,
AEO796,5.25%,1%,,1.00%,,,0.35%
AEP544,4.0%,2.0%,,1.0%,,,
AET258,5%,1%,,3%,,,0.03%
AET259,5%,1%,,3%,,,0.03%
AET261,5%,1%,,3%,,,0.03%
AEU510,3.00%,1.00%,,1.00%,,,0.25%
AEU512,3.00%,1.00%,,0.75%,,,0.25%
AEU513,3.00%,1.00%,,0.75%,,,0.25%
AEU514,3.00%,1.00%,,0.75%,,,0.25%
AEU515,3.00%,1.00%,,0.40%,,,0.25%
AEU520,3.00%,1.00%,,1.50%,,,0.25%
AEU521,5.00%,1.00%,,1.50%,,,0.25%
AEU522,5.00%,1.00%,,1.10%,,,0.25%
AEU523,5.00%,1.00%,,1.50%,,,0.25%
AEU524,5.00%,1.00%,,1.50%,,,0.25%
AEU525,5.00%,1.00%,,1.50%,,,0.25%
AEU526,5.00%,1.00%,,1.50%,,,0.25%
AEV562,3%,1.5%,,1.75%,,,0.40%
AEV674,5.25%,1%,,1.50%,,,0.35%
AEW083,5%,,,1.50%,,,
AEW085,5%,,,1.20%,,,
AEW086,5%,,,1.25%,,,
AEW087,5%,,,0.75%,,,
AEY682,2.0%,1.0%,,0.75%,,,
AEY960,5.25%,1%,,0.20%,,,0.35%
AEZ378,5.00%,2.00%,,0.30%,0.04%,,0.35%
AEZ380,5.00%,2.00%,,0.65%,0.04%,,0.35%
AEZ381,5.00%,2.00%,,0.65%,0.04%,,0.35%
AEZ674,5.00%,1.00%,,1.50%,,,
AEZ676,5.00%,1.00%,,0.55%,,,
AEZ767,6%,,,1.05%,,,0.75%
AEZ768,6%,,,1.15%,,,0.75%
AEZ769,6%,,,1.05%,,,0.75%
AFA343,5.00%,1.00%,,1.50%,,,0.25%
AFA344,5.00%,1.00%,,1.50%,,,0.25%
AFA350,5.00%,1.00%,,1.25%,,,0.25%
AFA664,5.0%,1%,,1.50%,,,0.60%
AFA665,5.0%,1%,,1.50%,,,0.60%
AFA691,3.0%,2.0%,,1.0%,0.045%,,
AFA752,5.00%,0.75%,,1.50%,,,0.30%
AFA775,3.00%,1.00%,,0.75%,,,0.25%
AFB764,5.00%,,,0.025%,,,
AFB765,5.00%,,,0.025%,,,
AFB770,5.00%,,,0.025%,,,
AFB774,5.00%,,,0.025%,,,
AFB775,5.00%,,,0.025%,,,
AFD139,5%,,,1.10%,,,1.00%
AFD406,5%,1%,,3%,,,0.03%
AFD408,5%,1%,,3%,,,0.03%
AFD944,5%,1%,,3%,,,0.03%
AFE773,5.00%,1.00%,,1.35%,,,
AFF083,5.25%,1%,,1.50%,,,0.35%
AFF084,5.25%,1%,,1.50%,,,0.35%
AFG455,4.0%,2.0%,,1.0%,0.085%,,
AFH734,5%,5%,2%,0.45%,0.07%,0.45%,0.45%
AFH736,5%,5%,2%,0.45%,0.07%,0.45%,0.45%
AFH737,5%,5%,2%,0.45%,0.07%,0.45%,0.45%
AFH738,5%,5%,2%,0.45%,0.07%,0.45%,0.45%
