id,subscription,switching,redemption,management,trustee,performance,admin
BRX762,4%,4%,0,0,0,0,1.300%
BRX763,3%,3%,0,0,0,0,0.860%
BRX764,4%,4%,0,0,0,0,1.440%
BRX765,4%,4%,0,0,0,0,1.150%
BSE527,5%,5%,0,1.25%,0.15%,0,0
ABD638,5.0%,1%,0,1.50%,0,0,0.60%
ABD639,5.0%,1%,0,1.75%,0,0,0.60%
ABD647,5.0%,1%,0,1.50%,0,0,0.60%
ABD804,5.00%,2.00%,0,0.65%,0.04%,0,0.35%
ABD806,5.00%,2.00%,0,0.65%,0.04%,0,0.35%
ABD886,5%,0,0,1.50%,0,0,0
ABD887,5%,0,0,1.50%,0,0,0
ABD893,5%,0,0,1.50%,0,0,0
ABD894,5%,0,0,1.50%,0,0,0
ABD895,5%,0,0,0.75%,0,0,0
ABD896,0,0,0,0.45%,0,0,0
ABD897,5%,0,0,1.50%,0,0,0
ABD898,5%,0,0,1.75%,0,0,0
ABE029,0,0,0,0,0,0,0
ABE033,0,0,0,0,0,0,0
ABE035,0,0,0,0,0,0,0
ABE038,0,0,0,0,0,0,0
ABE039,0,0,0,0,0,0,0
ABE069,5.25%,1%,0,1.50%,0,0,0.35%
ABE070,5.25%,1%,0,1.50%,0,0,0.35%
ABE071,5.25%,1%,0,1.50%,0,0,0.35%
ABE072,5.25%,1%,0,1.50%,0,0,0.35%
ABE074,5.25%,1%,0,1.50%,0,0,0.35%
ABE077,5.25%,1%,0,1.50%,0,0,0.35%
ABE078,5.25%,1%,0,1.50%,0,0,0.35%
ABE079,5.25%,1%,0,1.50%,0,0,0.35%
ABE080,5.25%,1%,0,1.50%,0,0,0.35%
ABE082,5.25%,1%,0,1.50%,0,0,0.35%
ABE083,5.25%,1%,0,1.50%,0,0,0.35%
ABE084,3.5%,1%,0,0.75%,0,0,0.35%
ABE085,3.5%,1%,0,1.00%,0,0,0.35%
ABE086,3.5%,1%,0,0.75%,0,0,0.35%
ABE087,3.5%,1%,0,0.75%,0,0,0.35%
ABE091,5.25%,1%,0,1.50%,0,0,0.35%
