file_id,freq
BRX762,daily
BRX763,daily
BRX764,daily
BRX765,daily
BSE527,daily
ABD638,daily
ABD639,daily
ABD647,daily
ABD804,daily
ABD806,daily
ABD886,daily
ABD887,daily
ABD893,daily
ABD894,daily
ABD895,daily
ABD896,daily
ABD897,daily
ABD898,daily
ABE029,daily
ABE033,daily
ABE035,daily
ABE038,daily
ABE039,daily
ABE069,daily
ABE070,daily
ABE071,daily
ABE072,daily
ABE074,daily
ABE077,daily
ABE078,daily
ABE079,daily
ABE080,daily
ABE082,daily
ABE083,daily
ABE084,daily
ABE085,daily
ABE086,daily
ABE087,daily
ABE091,daily
ABE117,daily
ABE118,daily
ABE120,daily
ABE124,daily
ABE140,daily
ABE142,daily
ABE143,daily
ABE144,daily
ABE150,daily
ABE151,daily
ABE224,daily
ABF889,daily
ABF925,daily
ABG538,daily
ABG539,daily
ABH672,daily
ABH673,daily
ABM770,daily
ABN344,daily
ABN345,daily
ABN391,daily
ABQ462,daily
ABT232,daily
ABT569,daily
ABV649,daily
ABY190,daily
ACA511,daily
ACB462,daily
ACG320,daily
ACG321,daily
ACG322,daily
ACG324,daily
ACG327,daily
ACG328,daily
ACG329,daily
ACG332,daily
ACG333,daily
ACG337,daily
ACG338,daily
ACG341,daily
ACH404,daily
ACJ657,daily
ACM776,daily
ACN689,daily
ACO203,daily
ACO450,daily
ACO452,daily
ACT319,daily
ACT325,daily
ACT327,daily
ACT331,daily
ACT332,daily
ADA078,daily
ADA392,daily
ADB517,daily
ADC149,daily
ADG889,daily
ADH949,daily
ADJ409,daily
ADL927,daily
ADL929,daily
ADL930,daily
ADL932,daily
ADM595,daily
ADM596,daily
ADN303,daily
ADP286,daily
ADQ118,daily
ADU814,daily
ADV114,daily
ADV748,daily
ADX380,daily
ADX433,daily
ADX434,daily
ADX435,daily
ADX437,daily
AEA027,daily
AEB189,daily
AEC047,daily
AED229,daily
AEH594,daily
AEI316,daily
AEK191,daily
AEK827,daily
AEM615,daily
AEM856,daily
AEO343,
AEO344,daily
AEO345,daily
AEO796,daily
AEP544,daily
AET258,daily
AET259,daily
AET261,daily
AEU510,daily
AEU512,daily
AEU513,daily
AEU514,daily
AEU515,daily
AEU520,daily
AEU521,daily
AEU522,daily
AEU523,daily
AEU524,daily
AEU525,daily
AEU526,daily
AEV562,daily
AEV674,daily
AEW083,daily
AEW085,daily
AEW086,daily
AEW087,daily
AEY682,daily
AEY960,daily
AEZ378,daily
AEZ380,daily
AEZ381,daily
AEZ674,daily
AEZ676,daily
AEZ767,daily
AEZ768,daily
AEZ769,daily
AFA343,daily
AFA344,daily
AFA350,daily
AFA664,daily
AFA665,daily
AFA691,daily
AFA752,daily
AFA775,daily
AFB764,daily
AFB765,daily
AFB770,daily
AFB774,daily
AFB775,daily
AFD139,daily
AFD406,daily
AFD408,daily
AFD944,daily
AFE773,daily
AFF083,daily
AFF084,daily
AFG455,daily
AFH734,daily
AFH736,daily
AFH737,daily
AFH738,daily
AFH739,daily
AFH770,daily
AFH771,daily
AFH772,daily
AFH932,daily
AFH935,daily
AFI493,daily
AFI494,daily
AFI495,daily
AFI496,daily
AFI497,daily
AFI803,daily
AFI868,daily
AFI869,daily
AFI870,daily
AFI871,daily
AFJ137,daily
AFJ489,daily
AFJ493,daily
AFM324,daily
AFM325,daily
AFM326,daily
AFM956,daily
AFP992,daily
AFP993,daily
AFQ671,daily
AFQ700,daily
AFQ707,daily
AFQ709,daily
AFQ710,daily
AFQ718,daily
AFR657,daily
AFS452,daily
AFS565,daily
AFT501,daily
AFU318,daily
AFU808,daily
AFV836,daily
AFW149,daily
AFW210,daily
AFW215,daily
AFW216,daily
AGA003,daily
AGA004,daily
AGA006,daily
AGA009,daily
AGC188,daily
AGC784,daily
AGC798,daily
AGC803,daily
AGD261,daily
AGD263,daily
AGD265,daily
AGD269,daily
AGD270,daily
AGD273,daily
AGD275,daily
AGD276,daily
AGD278,daily
AGD279,daily
AGD282,daily
AGD565,daily
