Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url,doc,name,fund_type,id,subscription,switching,redemption,management,trustee,performance,admin,file_id,freq
Eastspring Investments (APD368),Eastspring Investments - Global Low Volatility Equity Fund (BSX598),Eastspring Investments (Luxembourg) S.A.,1/11/2022,Offering Documents,No,APD368,BSX598,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX598&docType=OD,1.0,eastspring investments - global low volatility equity fund,stock,BSX598,5%,0,0,1.00%,0,0,0,BSX598,daily
BlackRock Global Funds (AAR239),China Innovation Fund (BSX533),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX533&docType=OD,1.0,china innovation fund,other,BSX533,5%,0,0,1.50%,0,0,0,BSX533,daily
BlackRock Global Funds (AAR239),China Onshore Bond Fund (BSY415),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY415,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY415&docType=OD,1.0,china onshore bond fund,bond,BSY415,5%,0,0,1.00%,0,0,0,BSY415,daily
BlackRock Global Funds (AAR239),Next Generation Health Care Fund (BSX534),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX534,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX534&docType=OD,1.0,next generation health care fund,other,BSX534,5%,0,0,1.50%,0,0,0,BSX534,daily
BlackRock Global Funds (AAR239),Sustainable Global Infrastructure Fund (BSY416),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY416,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY416&docType=OD,1.0,sustainable global infrastructure fund,other,BSY416,5%,0,0,1.20%,0,0,0,BSY416,daily
UBS (Lux) Strategy SICAV (BSW919),UBS (Lux) Strategy SICAV - Income Sustainable (USD) (BSW920),UBS Fund Management (Luxembourg) S.A.,25/10/2022,Offering Documents,No,BSW919,BSW920,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSW920&docType=OD,1.0,ubs (lux) strategy sicav - income sustainable (usd),bond,BSW920,4%,4%,0,0,0,0,1.040%,BSW920,daily
ChinaAMC Select Fund (AVL899),ChinaAMC Select Flexible Cycle Income Fund (BSX517),China Asset Management (Hong Kong) Limited,17/10/2022,Offering Documents,No,AVL899,BSX517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX517&docType=OD,1.0,chinaamc select flexible cycle income fund,bond,BSX517,5%,1%,0,0.30%,0.50%,0,0,BSX517,daily
BOC-Prudential Unit Trust Fund (AFH774),BOC-Prudential Hong Kong Stable Retirement Fund (BSM054),BOCI-Prudential Asset Management Limited,29/9/2022,Offering Documents,No,AFH774,BSM054,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSM054&docType=OD,1.0,boc-prudential hong kong stable retirement fund,other,BSM054,0,0,0,0,0,0,0,BSM054,daily
Celsius Investment Funds SICAV (BSH884),Shiller US Sector Index Fund (BSH885),FundRock Management Company S.A.,21/9/2022,Offering Documents,No,BSH884,BSH885,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSH885&docType=OD,1.0,shiller us sector index fund,index,BSH885,4%,2%,0,1.25%,0,0,0.15%,BSH885,daily
Eastspring Investments (APD368),Eastspring Investments - Asian Total Return Bond Fund (BSU222),Eastspring Investments (Luxembourg) S.A.,20/9/2022,Offering Documents,No,APD368,BSU222,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSU222&docType=OD,1.0,eastspring investments - asian total return bond fund,bond,BSU222,3%,0,0,1.00%,0,0,0,BSU222,daily
Schroder International Selection Fund (AEU509),Global Sustainable Food and Water (BSS918),Schroder Investment Management (Europe) S.A.,9/9/2022,Offering Documents,No,AEU509,BSS918,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSS918&docType=OD,1.0,global sustainable food and water,other,BSS918,5.00%,1.00%,0,1.50%,0,0,0.25%,BSS918,daily
Capital International Fund (BGX053),Capital Group American Balanced Fund (LUX) (BSR977),Capital International Management Company,25/8/2022,Offering Documents,No,BGX053,BSR977,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR977&docType=OD,1.0,capital group american balanced fund (lux),other,BSR977,5.25%,5.25%,0,1.50%,0,0,0.15%,BSR977,daily
HuaAn Investment Fund OFC (BSJ880),HuaAn Investment Grade Bond Fund (BSJ881),HuaAn Asset Management (Hong Kong) Limited,22/8/2022,Offering Documents,No,BSJ880,BSJ881,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSJ881&docType=OD,1.0,huaan investment grade bond fund,bond,BSJ881,2%,0,0,0.40%,0,0,0.07%,BSJ881,daily
Schroder International Selection Fund (AEU509),European Sustainable Equity (BSQ710),Schroder Investment Management (Europe) S.A.,18/8/2022,Offering Documents,No,AEU509,BSQ710,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ710&docType=OD,1.0,european sustainable equity,stock,BSQ710,5.00%,1.00%,0,1.25%,0,0,0.25%,BSQ710,daily
Schroder International Selection Fund (AEU509),Sustainable Asian Equity (BSQ711),Schroder Investment Management (Europe) S.A.,18/8/2022,Offering Documents,No,AEU509,BSQ711,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ711&docType=OD,1.0,sustainable asian equity,stock,BSQ711,5.00%,1.00%,0,1.50%,0,0,0.25%,BSQ711,daily
AB SICAV I (ANP585),Sustainable All Market Portfolio (BSQ440),AllianceBernstein (Luxembourg) S.a.r.l.,17/8/2022,Offering Documents,No,ANP585,BSQ440,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ440&docType=OD,1.0,sustainable all market portfolio,other,BSQ440,5%,0,0,1.40%,0,0,1.00%,BSQ440,daily
AB SICAV I (ANP585),Sustainable Income Portfolio (BSQ441),AllianceBernstein (Luxembourg) S.a.r.l.,17/8/2022,Offering Documents,No,ANP585,BSQ441,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ441&docType=OD,1.0,sustainable income portfolio,bond,BSQ441,5%,0,0,1.10%,0,0,1.00%,BSQ441,daily
ChinaAMC Select Fund (AVL899),ChinaAMC Select USD Money Market Fund (BSR551),China Asset Management (Hong Kong) Limited,2/8/2022,Offering Documents,No,AVL899,BSR551,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR551&docType=OD,1.0,chinaamc select usd money market fund,other,BSR551,,,,,,,,,
Architas Multi-Manager Global Managed Funds Unit Trust (BLW767),E.P.I.C. Global Equity Opportunities Fund (BSP533),Architas Multi-Manager Europe Limited,27/7/2022,Offering Documents,No,BLW767,BSP533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSP533&docType=OD,1.0,e.p.i.c. global equity opportunities fund,stock,BSP533,5%,0,0,0,0,0,1.75%,BSP533,daily
