prod,subfund,issuer,date_auth,doc,deriv,type,id_prod,id_subfund,url_doc,name_subfund,name_prod,diff_text,year
AB FCP I (ADX424),,AllianceBernstein (Luxembourg) S.a.r.l.,1997-09-10,Offering Documents,,0,ADX424,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD,,AB FCP I,,1997
AB FCP I (ADX424),American Income Portfolio (ADX434),AllianceBernstein (Luxembourg) S.a.r.l.,1997-09-10,Offering Documents,No,11,ADX424,ADX434,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ADX434&docType=OD,American Income Portfolio,AB FCP I,American Income Portfolio,1997
AB FCP I (ADX424),Asia Ex-Japan Equity Portfolio (AUI725),AllianceBernstein (Luxembourg) S.a.r.l.,2010-01-25,Offering Documents,No,11,ADX424,AUI725,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=AUI725&docType=OD,Asia Ex-Japan Equity Portfolio,AB FCP I,Asia Ex-Japan Equity Portfolio,2010
AB FCP I (ADX424),China Low Volatility Equity Portfolio (AOA998),AllianceBernstein (Luxembourg) S.a.r.l.,2006-12-21,Offering Documents,No,11,ADX424,AOA998,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=AOA998&docType=OD,China Low Volatility Equity Portfolio,AB FCP I,China Low Volatility Equity Portfolio,2006
AB FCP I (ADX424),Dynamic Diversified Portfolio (ALT950),AllianceBernstein (Luxembourg) S.a.r.l.,2005-07-07,Offering Documents,Yes,11,ADX424,ALT950,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ALT950&docType=OD,Dynamic Diversified Portfolio,AB FCP I,Dynamic Diversified Portfolio,2005
AB FCP I (ADX424),Emerging Markets Debt Portfolio (AOB001),AllianceBernstein (Luxembourg) S.a.r.l.,2006-12-21,Offering Documents,No,11,ADX424,AOB001,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=AOB001&docType=OD,Emerging Markets Debt Portfolio,AB FCP I,Emerging Markets Debt Portfolio,2006
AB FCP I (ADX424),Emerging Markets Growth Portfolio (ADX433),AllianceBernstein (Luxembourg) S.a.r.l.,1997-09-10,Offering Documents,No,11,ADX424,ADX433,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ADX433&docType=OD,Emerging Markets Growth Portfolio,AB FCP I,Emerging Markets Growth Portfolio,1997
AB FCP I (ADX424),European Income Portfolio (AFD139),AllianceBernstein (Luxembourg) S.a.r.l.,1999-11-22,Offering Documents,No,11,ADX424,AFD139,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=AFD139&docType=OD,European Income Portfolio,AB FCP I,European Income Portfolio,1999
AB FCP I (ADX424),Global Equity Blend Portfolio (ALT951),AllianceBernstein (Luxembourg) S.a.r.l.,2005-07-07,Offering Documents,No,11,ADX424,ALT951,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ALT951&docType=OD,Global Equity Blend Portfolio,AB FCP I,Global Equity Blend Portfolio,2005
AB FCP I (ADX424),Global High Yield Portfolio (AEH594),AllianceBernstein (Luxembourg) S.a.r.l.,1997-12-19,Offering Documents,No,11,ADX424,AEH594,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=AEH594&docType=OD,Global High Yield Portfolio,AB FCP I,Global High Yield Portfolio,1997
AB FCP I (ADX424),Global Value Portfolio (ANE325),AllianceBernstein (Luxembourg) S.a.r.l.,2006-04-21,Offering Documents,No,11,ADX424,ANE325,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ANE325&docType=OD,Global Value Portfolio,AB FCP I,Global Value Portfolio,2006
AB FCP I (ADX424),Japan Strategic Value Portfolio (AOA997),AllianceBernstein (Luxembourg) S.a.r.l.,2006-12-21,Offering Documents,No,11,ADX424,AOA997,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=AOA997&docType=OD,Japan Strategic Value Portfolio,AB FCP I,Japan Strategic Value Portfolio,2006
AB FCP I (ADX424),Mortgage Income Portfolio (ADX435),AllianceBernstein (Luxembourg) S.a.r.l.,1997-09-10,Offering Documents,No,11,ADX424,ADX435,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ADX435&docType=OD,Mortgage Income Portfolio,AB FCP I,Mortgage Income Portfolio,1997
AB FCP I (ADX424),Short Duration Bond Portfolio (ADX437),AllianceBernstein (Luxembourg) S.a.r.l.,1997-09-10,Offering Documents,No,11,ADX424,ADX437,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=ADX437&docType=OD,Short Duration Bond Portfolio,AB FCP I,Short Duration Bond Portfolio,1997
AB (HK) Unit Trust Series (BFF199),,AllianceBernstein Hong Kong Limited,2015-07-22,Offering Documents,,0,BFF199,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD,,AB (HK) Unit Trust Series,,2015
AB (HK) Unit Trust Series (BFF199),AB (HK) All Market Income Portfolio (BRV468),AllianceBernstein Hong Kong Limited,2021-12-29,Offering Documents,No,2,BFF199,BRV468,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV468&docType=OD,AB (HK) All Market Income Portfolio,AB (HK) Unit Trust Series,All Market Income Portfolio,2021
AB (HK) Unit Trust Series (BFF199),AB (HK) American Income Portfolio (BFF203),AllianceBernstein Hong Kong Limited,2015-07-22,Offering Documents,No,2,BFF199,BFF203,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BFF203&docType=OD,AB (HK) American Income Portfolio,AB (HK) Unit Trust Series,American Income Portfolio,2015
AB (HK) Unit Trust Series (BFF199),AB (HK) Asia Income Opportunities Portfolio (BRV469),AllianceBernstein Hong Kong Limited,2021-12-29,Offering Documents,No,2,BFF199,BRV469,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV469&docType=OD,AB (HK) Asia Income Opportunities Portfolio,AB (HK) Unit Trust Series,Asia Income Opportunities Portfolio,2021
AB (HK) Unit Trust Series (BFF199),AB (HK) Emerging Markets Multi-Asset Portfolio (BFF205),AllianceBernstein Hong Kong Limited,2015-07-22,Offering Documents,No,2,BFF199,BFF205,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BFF205&docType=OD,AB (HK) Emerging Markets Multi-Asset Portfolio,AB (HK) Unit Trust Series,Emerging Markets Multi-Asset Portfolio,2015
