Product (CE No.),Sub-fund (CE No.),Issuer,Authorisation date,Documents,Derivative funds,type
AB FCP I (ADX424),,AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AB FCP I (ADX424),American Income Portfolio (ADX434),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Asia Ex-Japan Equity Portfolio (AUI725),AllianceBernstein (Luxembourg) S.a.r.l.,25/1/2010,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),China Low Volatility Equity Portfolio (AOA998),AllianceBernstein (Luxembourg) S.a.r.l.,21/12/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Dynamic Diversified Portfolio (ALT950),AllianceBernstein (Luxembourg) S.a.r.l.,7/7/2005,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Emerging Markets Debt Portfolio (AOB001),AllianceBernstein (Luxembourg) S.a.r.l.,21/12/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Emerging Markets Growth Portfolio (ADX433),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),European Income Portfolio (AFD139),AllianceBernstein (Luxembourg) S.a.r.l.,22/11/1999,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Global Equity Blend Portfolio (ALT951),AllianceBernstein (Luxembourg) S.a.r.l.,7/7/2005,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Global High Yield Portfolio (AEH594),AllianceBernstein (Luxembourg) S.a.r.l.,19/12/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Global Value Portfolio (ANE325),AllianceBernstein (Luxembourg) S.a.r.l.,21/4/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Japan Strategic Value Portfolio (AOA997),AllianceBernstein (Luxembourg) S.a.r.l.,21/12/2006,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Mortgage Income Portfolio (ADX435),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB FCP I (ADX424),Short Duration Bond Portfolio (ADX437),AllianceBernstein (Luxembourg) S.a.r.l.,10/9/1997,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB (HK) Unit Trust Series (BFF199),,AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) All Market Income Portfolio (BRV468),AllianceBernstein Hong Kong Limited,29/12/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) American Income Portfolio (BFF203),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Asia Income Opportunities Portfolio (BRV469),AllianceBernstein Hong Kong Limited,29/12/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Emerging Markets Multi-Asset Portfolio (BFF205),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) European Income Portfolio (BFF204),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Global High Yield Portfolio (BFF202),AllianceBernstein Hong Kong Limited,22/7/2015,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB (HK) Unit Trust Series (BFF199),AB (HK) Low Volatility Equity Portfolio (BRV470),AllianceBernstein Hong Kong Limited,29/12/2021,Offering Documents,No,2;0;0;0;0;0;0;0;0;0;0;0;0
AB SICAV I (ANP585),,AllianceBernstein (Luxembourg) S.a.r.l.,10/7/2006,Offering Documents,,0;0;0;0;0;0;0;0;0;0;0;0;0
AB SICAV I (ANP585),All Market Income Portfolio (BLS795),AllianceBernstein (Luxembourg) S.a.r.l.,1/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),American Growth Portfolio (BLS810),AllianceBernstein (Luxembourg) S.a.r.l.,1/3/2018,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),American Multi-Asset Portfolio (BSY982),AllianceBernstein (Luxembourg) S.a.r.l.,28/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Asia Income Opportunities Portfolio (BJS920),AllianceBernstein (Luxembourg) S.a.r.l.,7/9/2017,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Asia Pacific Local Currency Debt Portfolio (AZT298),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),China A Shares Equity Portfolio (BPQ088),AllianceBernstein (Luxembourg) S.a.r.l.,20/7/2020,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),China Multi-Asset Portfolio (BSY983),AllianceBernstein (Luxembourg) S.a.r.l.,28/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),China Net Zero Solutions Portfolio (BTB539),AllianceBernstein (Luxembourg) S.a.r.l.,29/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Climate High Income Portfolio (BTB540),AllianceBernstein (Luxembourg) S.a.r.l.,29/11/2022,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Concentrated Global Equity Portfolio (BDV563),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Concentrated US Equity Portfolio (BDV564),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Market Corporate Debt Portfolio (AZT301),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Market Local Currency Debt Portfolio (AZT302),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,Yes,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Markets Low Volatility Equity Portfolio (BDV559),AllianceBernstein (Luxembourg) S.a.r.l.,18/11/2014,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
AB SICAV I (ANP585),Emerging Markets Multi-Asset Portfolio (AZT300),AllianceBernstein (Luxembourg) S.a.r.l.,28/2/2013,Offering Documents,No,0;0;0;0;0;0;0;0;0;11;0;0;0
