prod,subfund,issuer,date_auth,doc,deriv,type,id_prod,id_subfund,url_doc,name_subfund,name_prod,diff_text,year
AB (HK) Unit Trust Series (BFF199),AB (HK) All Market Income Portfolio (BRV468),AllianceBernstein Hong Kong Limited,2021-12-29,Offering Documents,No,2,BFF199,BRV468,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV468&docType=OD,AB (HK) All Market Income Portfolio,AB (HK) Unit Trust Series,All Market Income Portfolio,2021
AB (HK) Unit Trust Series (BFF199),AB (HK) Asia Income Opportunities Portfolio (BRV469),AllianceBernstein Hong Kong Limited,2021-12-29,Offering Documents,No,2,BFF199,BRV469,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV469&docType=OD,AB (HK) Asia Income Opportunities Portfolio,AB (HK) Unit Trust Series,Asia Income Opportunities Portfolio,2021
AB (HK) Unit Trust Series (BFF199),AB (HK) Low Volatility Equity Portfolio (BRV470),AllianceBernstein Hong Kong Limited,2021-12-29,Offering Documents,No,2,BFF199,BRV470,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV470&docType=OD,AB (HK) Low Volatility Equity Portfolio,AB (HK) Unit Trust Series,Low Volatility Equity Portfolio,2021
AB SICAV I (ANP585),American Multi-Asset Portfolio (BSY982),AllianceBernstein (Luxembourg) S.a.r.l.,2022-11-28,,No,0,ANP585,BSY982,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY982&docType=OD,American Multi-Asset Portfolio,AB SICAV I,American Multi-Asset Portfolio,2022
AB SICAV I (ANP585),China A Shares Equity Portfolio (BPQ088),AllianceBernstein (Luxembourg) S.a.r.l.,2020-07-20,Offering Documents,No,11,ANP585,BPQ088,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPQ088&docType=OD,China A Shares Equity Portfolio,AB SICAV I,China A Shares Equity Portfolio,2020
AB SICAV I (ANP585),China Multi-Asset Portfolio (BSY983),AllianceBernstein (Luxembourg) S.a.r.l.,2022-11-28,,No,0,ANP585,BSY983,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY983&docType=OD,China Multi-Asset Portfolio,AB SICAV I,China Multi-Asset Portfolio,2022
AB SICAV I (ANP585),China Net Zero Solutions Portfolio (BTB539),AllianceBernstein (Luxembourg) S.a.r.l.,2022-11-29,,No,0,ANP585,BTB539,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BTB539&docType=OD,China Net Zero Solutions Portfolio,AB SICAV I,China Net Zero Solutions Portfolio,2022
AB SICAV I (ANP585),Climate High Income Portfolio (BTB540),AllianceBernstein (Luxembourg) S.a.r.l.,2022-11-29,,No,0,ANP585,BTB540,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BTB540&docType=OD,Climate High Income Portfolio,AB SICAV I,Climate High Income Portfolio,2022
AB SICAV I (ANP585),Global Income Portfolio (BPQ089),AllianceBernstein (Luxembourg) S.a.r.l.,2020-07-20,Offering Documents,No,11,ANP585,BPQ089,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPQ089&docType=OD,Global Income Portfolio,AB SICAV I,Global Income Portfolio,2020
AB SICAV I (ANP585),Sustainable All Market Portfolio (BSQ440),AllianceBernstein (Luxembourg) S.a.r.l.,2022-08-17,Offering Documents,No,11,ANP585,BSQ440,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ440&docType=OD,Sustainable All Market Portfolio,AB SICAV I,Sustainable All Market Portfolio,2022
AB SICAV I (ANP585),Sustainable Income Portfolio (BSQ441),AllianceBernstein (Luxembourg) S.a.r.l.,2022-08-17,Offering Documents,No,11,ANP585,BSQ441,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ441&docType=OD,Sustainable Income Portfolio,AB SICAV I,Sustainable Income Portfolio,2022
