Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url,doc,name,fund_type
Eastspring Investments (APD368),Eastspring Investments - Global Low Volatility Equity Fund (BSX598),Eastspring Investments (Luxembourg) S.A.,1/11/2022,Offering Documents,No,APD368,BSX598,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX598&docType=OD,1.0,eastspring investments - global low volatility equity fund,stock
BlackRock Global Funds (AAR239),China Innovation Fund (BSX533),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX533&docType=OD,1.0,china innovation fund,other
BlackRock Global Funds (AAR239),China Onshore Bond Fund (BSY415),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY415,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY415&docType=OD,1.0,china onshore bond fund,bond
BlackRock Global Funds (AAR239),Next Generation Health Care Fund (BSX534),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX534,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX534&docType=OD,1.0,next generation health care fund,other
BlackRock Global Funds (AAR239),Sustainable Global Infrastructure Fund (BSY416),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY416,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY416&docType=OD,1.0,sustainable global infrastructure fund,other
UBS (Lux) Strategy SICAV (BSW919),UBS (Lux) Strategy SICAV - Income Sustainable (USD) (BSW920),UBS Fund Management (Luxembourg) S.A.,25/10/2022,Offering Documents,No,BSW919,BSW920,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSW920&docType=OD,1.0,ubs (lux) strategy sicav - income sustainable (usd),bond
ChinaAMC Select Fund (AVL899),ChinaAMC Select Flexible Cycle Income Fund (BSX517),China Asset Management (Hong Kong) Limited,17/10/2022,Offering Documents,No,AVL899,BSX517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX517&docType=OD,1.0,chinaamc select flexible cycle income fund,bond
BOC-Prudential Unit Trust Fund (AFH774),BOC-Prudential Hong Kong Stable Retirement Fund (BSM054),BOCI-Prudential Asset Management Limited,29/9/2022,Offering Documents,No,AFH774,BSM054,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSM054&docType=OD,1.0,boc-prudential hong kong stable retirement fund,other
Celsius Investment Funds SICAV (BSH884),Shiller US Sector Index Fund (BSH885),FundRock Management Company S.A.,21/9/2022,Offering Documents,No,BSH884,BSH885,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSH885&docType=OD,1.0,shiller us sector index fund,index
Eastspring Investments (APD368),Eastspring Investments - Asian Total Return Bond Fund (BSU222),Eastspring Investments (Luxembourg) S.A.,20/9/2022,Offering Documents,No,APD368,BSU222,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSU222&docType=OD,1.0,eastspring investments - asian total return bond fund,bond
Schroder International Selection Fund (AEU509),Global Sustainable Food and Water (BSS918),Schroder Investment Management (Europe) S.A.,9/9/2022,Offering Documents,No,AEU509,BSS918,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSS918&docType=OD,1.0,global sustainable food and water,other
Capital International Fund (BGX053),Capital Group American Balanced Fund (LUX) (BSR977),Capital International Management Company,25/8/2022,Offering Documents,No,BGX053,BSR977,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR977&docType=OD,1.0,capital group american balanced fund (lux),other
HuaAn Investment Fund OFC (BSJ880),HuaAn Investment Grade Bond Fund (BSJ881),HuaAn Asset Management (Hong Kong) Limited,22/8/2022,Offering Documents,No,BSJ880,BSJ881,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSJ881&docType=OD,1.0,huaan investment grade bond fund,bond
